            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,        Sensor,          Gain
1544605980,           2018-12-12 09:13:00,           2018-12-12 03:13:00,3.08,3.686,96.48586,10
1544606580,           2018-12-12 09:23:00,           2018-12-12 03:23:00,3.09,3.686,96.66342,10
1544607180,           2018-12-12 09:33:00,           2018-12-12 03:33:00,3.09,3.675,95.44315,10
1544607780,           2018-12-12 09:43:00,           2018-12-12 03:43:00,3.09,3.686,97.80554,10
1544608380,           2018-12-12 09:53:00,           2018-12-12 03:53:00,3.08,3.665,99.48718,10
1544608980,           2018-12-12 10:03:00,           2018-12-12 04:03:00,3.08,3.623,96.32133,10
1544609580,           2018-12-12 10:13:00,           2018-12-12 04:13:00,3.08,3.696,94.08029,10
1544610180,           2018-12-12 10:23:00,           2018-12-12 04:23:00,3.08,3.686,97.89877,10
1544610780,           2018-12-12 10:33:00,           2018-12-12 04:33:00,3.08,3.665,94.56771,10
1544611380,           2018-12-12 10:43:00,           2018-12-12 04:43:00,3.08,3.665,92.76747,10
1544611980,           2018-12-12 10:53:00,           2018-12-12 04:53:00,3.08,3.665,94.47173,10
1544612580,           2018-12-12 11:03:00,           2018-12-12 05:03:00,3.08,3.675,95.34237,10
1544613180,           2018-12-12 11:13:00,           2018-12-12 05:13:00,3.09,3.665,95.25942,10
1544613780,           2018-12-12 11:23:00,           2018-12-12 05:23:00,3.08,3.675,95.00029,10
1544614380,           2018-12-12 11:33:00,           2018-12-12 05:33:00,3.08,3.686,98.35603,10
1544614980,           2018-12-12 11:43:00,           2018-12-12 05:43:00,3.08,3.675,94.51355,10
1544615580,           2018-12-12 11:53:00,           2018-12-12 05:53:00,3.09,3.686,95.2368,10
1544616180,           2018-12-12 12:03:00,           2018-12-12 06:03:00,3.09,3.665,93.97677,10
1544616780,           2018-12-12 12:13:00,           2018-12-12 06:13:00,3.08,3.686,94.59307,10
1544617380,           2018-12-12 12:23:00,           2018-12-12 06:23:00,3.09,3.654,95.7585,10
1544617980,           2018-12-12 12:33:00,           2018-12-12 06:33:00,3.09,3.665,94.71579,10
1544618580,           2018-12-12 12:43:00,           2018-12-12 06:43:00,3.08,3.665,96.72992,10
1544619180,           2018-12-12 12:53:00,           2018-12-12 06:53:00,3.08,3.696,96.01969,10
1544619780,           2018-12-12 13:03:00,           2018-12-12 07:03:00,3.08,3.654,98.20521,10
1544620380,           2018-12-12 13:13:00,           2018-12-12 07:13:00,3.09,3.707,99.52489,10
1544620980,           2018-12-12 13:23:00,           2018-12-12 07:23:00,3.08,3.686,99.39052,10
1544621580,           2018-12-12 13:33:00,           2018-12-12 07:33:00,3.08,3.686,93.5531,10
1544622180,           2018-12-12 13:43:00,           2018-12-12 07:43:00,3.08,3.665,104.0961,10
1544622780,           2018-12-12 13:53:00,           2018-12-12 07:53:00,3.08,3.686,99.89577,10
1544623380,           2018-12-12 14:03:00,           2018-12-12 08:03:00,3.08,3.644,93.29671,10
1544623980,           2018-12-12 14:13:00,           2018-12-12 08:13:00,3.08,3.675,97.02607,10
1544624580,           2018-12-12 14:23:00,           2018-12-12 08:23:00,3.08,3.686,94.42717,10
1544625180,           2018-12-12 14:33:00,           2018-12-12 08:33:00,3.08,3.675,94.95847,10
1544625780,           2018-12-12 14:43:00,           2018-12-12 08:43:00,3.08,3.654,93.87051,10
1544626380,           2018-12-12 14:53:00,           2018-12-12 08:53:00,3.08,3.654,96.16366,10
1544626980,           2018-12-12 15:03:00,           2018-12-12 09:03:00,3.08,3.686,96.01352,10
1544627580,           2018-12-12 15:13:00,           2018-12-12 09:13:00,3.08,3.696,95.02565,10
1544628180,           2018-12-12 15:23:00,           2018-12-12 09:23:00,3.08,3.654,107.2174,10
1544628780,           2018-12-12 15:33:00,           2018-12-12 09:33:00,3.08,3.675,94.46008,10
1544629380,           2018-12-12 15:43:00,           2018-12-12 09:43:00,3.08,3.644,94.76035,10
1544629980,           2018-12-12 15:53:00,           2018-12-12 09:53:00,3.08,3.686,96.42211,10
1544630580,           2018-12-12 16:03:00,           2018-12-12 10:03:00,3.08,3.644,95.81883,10
1544631180,           2018-12-12 16:13:00,           2018-12-12 10:13:00,3.09,3.654,93.18976,10
1544631780,           2018-12-12 16:23:00,           2018-12-12 10:23:00,3.08,3.686,98.12432,10
1544632380,           2018-12-12 16:33:00,           2018-12-12 10:33:00,3.08,3.675,93.93495,10
1544632980,           2018-12-12 16:43:00,           2018-12-12 10:43:00,3.08,3.633,97.08914,10
1544633580,           2018-12-12 16:53:00,           2018-12-12 10:53:00,3.08,3.644,94.37918,10
1544634180,           2018-12-12 17:03:00,           2018-12-12 11:03:00,3.08,3.675,97.39627,10
1544634780,           2018-12-12 17:13:00,           2018-12-12 11:13:00,3.08,3.675,94.19203,10
1544635380,           2018-12-12 17:23:00,           2018-12-12 11:23:00,3.08,3.686,97.97898,10
1544635980,           2018-12-12 17:33:00,           2018-12-12 11:33:00,3.08,3.686,96.80944,10
1544636580,           2018-12-12 17:43:00,           2018-12-12 11:43:00,3.08,3.665,95.05445,10
1544637180,           2018-12-12 17:53:00,           2018-12-12 11:53:00,3.08,3.696,97.23311,10
1544637780,           2018-12-12 18:03:00,           2018-12-12 12:03:00,3.08,3.686,93.89039,10
1544638380,           2018-12-12 18:13:00,           2018-12-12 12:13:00,3.08,3.686,94.92693,10
1544638980,           2018-12-12 18:23:00,           2018-12-12 12:23:00,3.08,3.633,94.72881,10
1544639580,           2018-12-12 18:33:00,           2018-12-12 12:33:00,3.08,3.654,96.28568,10
1544640180,           2018-12-12 18:43:00,           2018-12-12 12:43:00,3.08,3.675,93.02797,10
1544640780,           2018-12-12 18:53:00,           2018-12-12 12:53:00,3.08,3.665,92.71948,10
1544641380,           2018-12-12 19:03:00,           2018-12-12 13:03:00,3.08,3.696,93.1452,10
1544641980,           2018-12-12 19:13:00,           2018-12-12 13:13:00,3.08,3.675,95.5782,10
1544642580,           2018-12-12 19:23:00,           2018-12-12 13:23:00,3.08,3.654,95.44863,10
