Serial Number:20472265 --

"Date Time, GMT -0500","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2020-05-25 00:15:51,72.84,0, , , , 
2020-05-25 00:25:51,72.84,0, , , , 
2020-05-25 00:35:51,72.69,0, , , , 
2020-05-25 00:45:51,72.54,0, , , , 
2020-05-25 00:55:51,72.46,0, , , , 
2020-05-25 01:05:51,72.38,0, , , , 
2020-05-25 01:15:51,72.23,0, , , , 
2020-05-25 01:25:51,72.23,0, , , , 
2020-05-25 01:35:51,72.07,0, , , , 
2020-05-25 01:45:51,72.00,0, , , , 
2020-05-25 01:55:51,71.84,0, , , , 
2020-05-25 02:05:51,71.84,0, , , , 
2020-05-25 02:15:51,71.76,0, , , , 
2020-05-25 02:25:51,71.69,0, , , , 
2020-05-25 02:35:51,71.45,0, , , , 
2020-05-25 02:45:51,71.45,0, , , , 
2020-05-25 02:55:51,71.38,0, , , , 
2020-05-25 03:05:51,71.15,0, , , , 
2020-05-25 03:15:51,71.22,0, , , , 
2020-05-25 03:25:51,71.07,0, , , , 
2020-05-25 03:35:51,70.99,0, , , , 
2020-05-25 03:45:51,70.91,0, , , , 
2020-05-25 03:55:51,70.76,0, , , , 
2020-05-25 04:05:51,70.68,0, , , , 
2020-05-25 04:15:51,70.76,0, , , , 
2020-05-25 04:25:51,70.53,0, , , , 
2020-05-25 04:35:51,70.37,0, , , , 
2020-05-25 04:45:51,70.45,0, , , , 
2020-05-25 04:55:51,70.30,1, , , , 
2020-05-25 05:05:51,70.22,2, , , , 
2020-05-25 05:15:51,70.22,6, , , , 
2020-05-25 05:25:51,70.06,12, , , , 
2020-05-25 05:35:51,70.14,26, , , , 
2020-05-25 05:45:51,69.99,47, , , , 
2020-05-25 05:55:51,69.91,67, , , , 
2020-05-25 06:05:51,69.91,89, , , , 
2020-05-25 06:15:51,69.91,122, , , , 
2020-05-25 06:25:51,69.83,141, , , , 
2020-05-25 06:35:51,69.83,166, , , , 
2020-05-25 06:45:51,69.83,209, , , , 
2020-05-25 06:55:51,69.83,249, , , , 
2020-05-25 07:05:51,69.91,325, , , , 
2020-05-25 07:15:51,69.83,355, , , , 
2020-05-25 07:25:51,69.99,335, , , , 
2020-05-25 07:35:51,69.91,261, , , , 
2020-05-25 07:45:51,70.06,261, , , , 
2020-05-25 07:55:51,70.22,367, , , , 
2020-05-25 08:05:51,70.30,309, , , , 
2020-05-25 08:15:51,70.45,348, , , , 
2020-05-25 08:25:51,70.61,388, , , , 
2020-05-25 08:35:51,70.99,588, , , , 
2020-05-25 08:45:51,71.38,609, , , , 
2020-05-25 08:55:51,71.22,339, , , , 
2020-05-25 09:05:51,71.69,"1,367", , , , 
2020-05-25 09:15:51,71.84,"1,866", , , , 
2020-05-25 09:25:51,72.46,"2,049", , , , 
2020-05-25 09:35:51,73.31,"2,184", , , , 
2020-05-25 09:45:51,73.31,"2,506", , , , 
2020-05-25 09:55:51,73.69,"2,404", , , , 
2020-05-25 10:05:51,73.77,"1,683", , , , 
2020-05-25 10:15:51,74.39,"2,692", , , , 
2020-05-25 10:25:51,74.00,"1,777", , , , 
2020-05-25 10:35:51,75.24,"3,216", , , , 
2020-05-25 10:45:51,73.77,"2,135", , , , 
2020-05-25 10:55:51,74.93,"2,910", , , , 
2020-05-25 11:05:51,75.08,"2,287", , , , 
2020-05-25 11:15:51,75.78,"1,709", , , , 
2020-05-25 11:25:51,76.09,"1,604", , , , 
2020-05-25 11:35:51,76.09,"1,790", , , , 
2020-05-25 11:45:51,77.56,"3,402", , , , 
2020-05-25 11:55:51,78.10,"3,264", , , , 
2020-05-25 12:05:51,76.55,682, , , , 
2020-05-25 12:15:51,75.32,948, , , , 
2020-05-25 12:25:51,76.71,462, , , , 
2020-05-25 12:35:51,76.47,250, , , , 
2020-05-25 12:45:51,76.55,186, , , , 
2020-05-25 12:55:51,76.47,100, , , , 
2020-05-25 13:05:51,75.62,17, , , , 
2020-05-25 13:15:51,74.78,57, , , , 
2020-05-25 13:25:51,73.77,100, , , , 
2020-05-25 13:35:51,74.08,48, , , , 
2020-05-25 13:45:51,74.47,59, , , , 
2020-05-25 13:55:51,74.08,75, , , , 
2020-05-25 14:05:51,73.62,506, , , , 
2020-05-25 14:15:51,73.85,684, , , , 
2020-05-25 14:25:51,73.77,756, , , , 
2020-05-25 14:35:51,73.62,885, , , , 
2020-05-25 14:45:51,74.23,725, , , , 
2020-05-25 14:55:51,73.85,857, , , , 
2020-05-25 15:05:51,73.62,743, , , , 
2020-05-25 15:15:51,74.00,944, , , , 
2020-05-25 15:25:51,74.16,"1,108", , , , 
2020-05-25 15:35:51,74.08,635, , , , 
2020-05-25 15:45:51,74.00,253, , , , 
2020-05-25 15:55:51,74.23,700, , , , 
2020-05-25 16:05:51,76.32,"2,761", , , , 
2020-05-25 16:15:51,74.93,"1,179", , , , 
2020-05-25 16:25:51,74.31,455, , , , 
2020-05-25 16:35:51,74.16,443, , , , 
2020-05-25 16:45:51,74.39,484, , , , 
2020-05-25 16:55:51,74.16,174, , , , 
2020-05-25 17:05:51,74.23,253, , , , 
2020-05-25 17:15:51,74.16,156, , , , 
2020-05-25 17:25:51,74.16,168, , , , 
2020-05-25 17:35:51,74.54,"1,231", , , , 
